Title,Review,StarRating,Date
You want a powerful sprayer this is it.,"You want a powerful sprayer this is it. I've owned the typhoon 2.0 this is a huge upgrade. New straps, new hose, new gun, its wonderful product. I own a pest control company and this makes my job so much easier. Also flow zone has great customer service. If you have a issue they fix it right away. Can't go wrong with this purchase.",5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 28, 2022"
Awesome,Love it. I do a lot of spraying for my lawn customers .. this makes the job much faster compared to hand pumping.,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on December 26, 2021"
Top notch product,"I was nervous about spending the money on this sprayer. It’s expensive, but in my opinion it’s worth it. From spraying pre-emergent for my lawn, weed killers at my farm, or even using distilled water in it to rinse off my truck after washing, this thing has made my life so much easier. It does take some getting used to though. I used an entire 4 gallons on only half of my yard when using pre-emergent when my mixture was for my whole yard. That was ignorance on my part not knowing the gallons per 1000ft2. If you can afford it, it’s the best there is in my opinion.",5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 20, 2021"
Best Sprayer I have Ever Owned!,"I order the Typhoon V2 with variable pressure control.  It has been outstanding.  I have sprayed my driveway twice,  my entire outside of my house, my sidewalks and patio.  It still has three bars left on the battery.  I purchased a cart and a 20ft hose extension from another company and I had an issue with the cart and the backpack matching up.  I called FlowZone customer service and they sent  me the part to fix the problem at no charge right away.  Excellent customer service.  I even was able to spray mildew on my roof (about 26 feet up).  I love the variable pressure control.  Excellent design and if needed all parts are easily accessible.  Great product!",5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 18, 2020"
Bang for you buck!,Really good sprayer! Great battery life. Harnest is very comfortable. Multiple handles to carry. I wish it cam with better tips & longer shaft.,4.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 22, 2021"
"Great sprayer, customer service not so much","The product works great however the customer service not so much. We paid for expedited shipping but the item took almost a month to arrive. Requested a refund on the shipping thst we paid extra for and never heard from.tne company. The sprayer is awesome though, highly recommend",5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 18, 2021"
Makes for efficient work,This makes me an efficient technician! I do pest control and bought this to help me provide quality service with a quicker TOS. And less call backs,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 13, 2021"
It's awesome,It's a must buy good sprayer I recommend it,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 14, 2021"
I believe it’s the BEST ON THE MARKET! You will be very surprised by its performance.,"The best backpack I have owned ! They are what they say they are, I recommend buying one, however a bit pricey, worth the money, I love it!!  I normally don’t write reviews but this backpack  Is worthy of me writing one!",5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on September 17, 2020"
Great value!,"Great sprayer, quality parts, and extra thick comfortable shoulder straps. Extra long battery life. Love this purchase!",5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 26, 2021"
